metric,higher_is_better,domain,mask_severity,placement_a,placement_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,df,p_raw,p_bonferroni,cohens_d,significant_05_adj,significant_01_adj
psnr,True,imagenet-simple,10,top_left,bottom_right,1926,22.395457,20.587918,1.807539,6.892861,11.5084,1925,1.0925197736496988e-29,1.0925197736496989e-28,0.2622,True,True
psnr,True,imagenet-simple,10,top_right,center,1926,22.131555,19.433129,2.698425,6.78713,17.4483,1925,2.0717341458336777e-63,2.0717341458336777e-62,0.3976,True,True
psnr,True,imagenet-simple,10,top_right,bottom_left,1926,22.131555,21.097166,1.034389,6.591414,6.887,1925,7.685291221848038e-12,7.685291221848037e-11,0.1569,True,True
psnr,True,imagenet-simple,10,top_right,bottom_right,1926,22.131555,20.587918,1.543637,6.568844,10.313,1925,2.6083832505391777e-24,2.6083832505391776e-23,0.235,True,True
psnr,True,imagenet-simple,10,center,bottom_left,1926,19.433129,21.097166,-1.664037,6.452625,-11.3176,1925,8.531738049338059e-29,8.53173804933806e-28,-0.2579,True,True
psnr,True,imagenet-simple,10,center,bottom_right,1926,19.433129,20.587918,-1.154789,6.264573,-8.0898,1925,1.0466088335807206e-15,1.0466088335807207e-14,-0.1843,True,True
psnr,True,imagenet-simple,10,bottom_left,bottom_right,1926,21.097166,20.587918,0.509248,5.655774,3.9515,1925,8.045370162185358e-05,0.0008045370162185358,0.09,True,True
psnr,True,imagenet-simple,20,top_left,top_right,1926,19.466023,19.291453,0.174571,5.315093,1.4414,1925,0.14963092300172084,1.0,0.0328,False,False
psnr,True,imagenet-simple,20,top_left,center,1926,19.466023,18.257499,1.208524,5.49353,9.6545,1925,1.436436043847147e-21,1.436436043847147e-20,0.22,True,True
psnr,True,imagenet-simple,20,top_left,bottom_left,1926,19.466023,18.848254,0.61777,5.255763,5.1584,1925,2.746136593679717e-07,2.7461365936797168e-06,0.1175,True,True
psnr,True,imagenet-simple,20,top_left,bottom_right,1926,19.466023,18.385004,1.08102,5.409892,8.7695,1925,3.868168991751237e-18,3.868168991751237e-17,0.1998,True,True
psnr,True,imagenet-simple,20,top_right,center,1926,19.291453,18.257499,1.033954,5.373571,8.4443,1925,5.93059381285064e-17,5.93059381285064e-16,0.1924,True,True
psnr,True,imagenet-simple,20,top_right,bottom_left,1926,19.291453,18.848254,0.443199,5.249837,3.7049,1925,0.00021740712591070908,0.002174071259107091,0.0844,True,True
psnr,True,imagenet-simple,20,top_right,bottom_right,1926,19.291453,18.385004,0.906449,5.242701,7.5878,1925,5.035371119234601e-14,5.035371119234601e-13,0.1729,True,True
psnr,True,imagenet-simple,20,center,bottom_left,1926,18.257499,18.848254,-0.590755,4.684818,-5.534,1925,3.557791169827398e-08,3.557791169827398e-07,-0.1261,True,True
psnr,True,imagenet-simple,20,center,bottom_right,1926,18.257499,18.385004,-0.127505,4.712974,-1.1873,1925,0.23525728455874673,1.0,-0.0271,False,False
psnr,True,imagenet-simple,20,bottom_left,bottom_right,1926,18.848254,18.385004,0.46325,4.420085,4.5995,1925,4.510270358727346e-06,4.5102703587273454e-05,0.1048,True,True
psnr,True,imagenet-simple,30,top_left,top_right,1926,17.717442,17.689707,0.027735,3.694428,0.3295,1925,0.741840957024599,1.0,0.0075,False,False
psnr,True,imagenet-simple,30,top_left,center,1926,17.717442,17.717193,0.000249,3.938659,0.0028,1925,0.9977858543714047,1.0,0.0001,False,False
psnr,True,imagenet-simple,30,top_left,bottom_left,1926,17.717442,17.539543,0.177899,3.748744,2.0826,1925,0.037415149879577815,0.37415149879577814,0.0475,False,False
psnr,True,imagenet-simple,30,top_left,bottom_right,1926,17.717442,17.254549,0.462894,4.142068,4.9045,1925,1.0154560967233674e-06,1.0154560967233675e-05,0.1118,True,True
psnr,True,imagenet-simple,30,top_right,center,1926,17.689707,17.717193,-0.027486,3.940438,-0.3061,1925,0.7595459663551102,1.0,-0.007,False,False
psnr,True,imagenet-simple,30,top_right,bottom_left,1926,17.689707,17.539543,0.150164,4.099049,1.6077,1925,0.10806016619792212,1.0,0.0366,False,False
psnr,True,imagenet-simple,30,top_right,bottom_right,1926,17.689707,17.254549,0.435159,3.787696,5.042,1925,5.039626811356978e-07,5.039626811356978e-06,0.1149,True,True
psnr,True,imagenet-simple,30,center,bottom_left,1926,17.717193,17.539543,0.17765,3.604867,2.1627,1925,0.030684191681794485,0.30684191681794487,0.0493,False,False
psnr,True,imagenet-simple,30,center,bottom_right,1926,17.717193,17.254549,0.462645,3.665185,5.5396,1925,3.4480670147303784e-08,3.4480670147303786e-07,0.1262,True,True
psnr,True,imagenet-simple,30,bottom_left,bottom_right,1926,17.539543,17.254549,0.284995,3.105372,4.0276,1925,5.8525144437660074e-05,0.0005852514443766008,0.0918,True,True
psnr,True,imagenet-simple,40,top_left,top_right,1926,16.558703,16.558125,0.000578,2.570322,0.0099,1925,0.9921303065793455,1.0,0.0002,False,False
psnr,True,imagenet-simple,40,top_left,center,1926,16.558703,17.502514,-0.943811,3.084147,-13.4301,1925,2.251859275823095e-39,2.2518592758230953e-38,-0.306,True,True
psnr,True,imagenet-simple,40,top_left,bottom_left,1926,16.558703,16.762241,-0.203538,2.76371,-3.2321,1925,0.001249724016102495,0.01249724016102495,-0.0736,True,False
psnr,True,imagenet-simple,40,top_left,bottom_right,1926,16.558703,16.474109,0.084594,3.182055,1.1667,1925,0.24347602307612823,1.0,0.0266,False,False
psnr,True,imagenet-simple,40,top_right,center,1926,16.558125,17.502514,-0.944388,3.126945,-13.2544,1925,1.948325549956893e-38,1.948325549956893e-37,-0.302,True,True
psnr,True,imagenet-simple,40,top_right,bottom_left,1926,16.558125,16.762241,-0.204116,3.150536,-2.8433,1925,0.0045122611075185635,0.045122611075185635,-0.0648,True,False
psnr,True,imagenet-simple,40,top_right,bottom_right,1926,16.558125,16.474109,0.084016,2.897945,1.2723,1925,0.20340891483402349,1.0,0.029,False,False
psnr,True,imagenet-simple,40,center,bottom_left,1926,17.502514,16.762241,0.740273,2.89846,11.2086,1925,2.722908194838375e-28,2.7229081948383753e-27,0.2554,True,True
psnr,True,imagenet-simple,40,center,bottom_right,1926,17.502514,16.474109,1.028404,3.128866,14.4246,1925,7.246115278978976e-45,7.246115278978976e-44,0.3287,True,True
psnr,True,imagenet-simple,40,bottom_left,bottom_right,1926,16.762241,16.474109,0.288132,2.475429,5.1082,1925,3.5737154695082696e-07,3.5737154695082696e-06,0.1164,True,True
psnr,True,imagenet-complex,5,top_left,top_right,1926,18.922374,19.204912,-0.282538,4.931857,-2.5142,1925,0.012012153721976473,0.12012153721976473,-0.0573,False,False
psnr,True,imagenet-complex,5,top_left,center,1926,18.922374,18.051303,0.871071,6.012655,6.3579,1925,2.547149288417243e-10,2.547149288417243e-09,0.1449,True,True
psnr,True,imagenet-complex,5,top_left,bottom_left,1926,18.922374,18.140839,0.781535,5.89572,5.8175,1925,6.97752695488684e-09,6.97752695488684e-08,0.1326,True,True
psnr,True,imagenet-complex,5,top_left,bottom_right,1926,18.922374,17.913422,1.008952,5.963309,7.4253,1925,1.681639751798057e-13,1.681639751798057e-12,0.1692,True,True
psnr,True,imagenet-complex,5,top_right,center,1926,19.204912,18.051303,1.153609,6.041944,8.3793,1925,1.0122884999150265e-16,1.0122884999150265e-15,0.1909,True,True
psnr,True,imagenet-complex,5,top_right,bottom_left,1926,19.204912,18.140839,1.064074,6.073201,7.6892,1925,2.344813563663726e-14,2.344813563663726e-13,0.1752,True,True
psnr,True,imagenet-complex,5,top_right,bottom_right,1926,19.204912,17.913422,1.29149,6.013337,9.4255,1925,1.1836536441693003e-20,1.1836536441693003e-19,0.2148,True,True
psnr,True,imagenet-complex,5,center,bottom_left,1926,18.051303,18.140839,-0.089535,5.652109,-0.6952,1925,0.48701089394145547,1.0,-0.0158,False,False
psnr,True,imagenet-complex,5,center,bottom_right,1926,18.051303,17.913422,0.137881,5.511512,1.0979,1925,0.2723859254681989,1.0,0.025,False,False
